"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 [[manages]] sweetness [[largely]] without stickiness .","lovingly photographed in the manner of a golden book sprung to life , stuart little 2 [[administer]] sweetness [[essentially]] without stickiness .",0.0016077160835266113,0.7227531671524048,1,0,1,78,"Successful"
"[[consistently]] [[clever]] and suspenseful .","[[constantly]] [[intelligent]] and suspenseful .",0.000847935676574707,0.0009369254112243652,1,1,1,14,"Failed"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.8357135057449341,0.8357135057449341,0,0,1,1,"Skipped"
"the story [[gives]] ample [[opportunity]] for large-scale action and suspense , which director shekhar kapur supplies with [[tremendous]] [[skill]] .","the story [[affords]] ample [[luck]] for large-scale action and suspense , which director shekhar kapur supplies with [[whopping]] [[competency]] .",0.001867830753326416,0.007098257541656494,1,1,1,167,"Failed"
"red dragon "" never cuts corners .","red dragon "" never cuts corners .",0.9904546141624451,0.9904546141624451,0,0,1,1,"Skipped"
"fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .","fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .",0.9546938538551331,0.9546938538551331,0,0,1,1,"Skipped"
"throws in enough clever and [[unexpected]] twists to make the formula feel fresh .","throws in enough clever and [[unscheduled]] twists to make the formula feel fresh .",0.0009319186210632324,0.0015951991081237793,1,1,1,8,"Failed"
"weighty and ponderous but every bit as filling as the treat of the title .","weighty and ponderous but every bit as filling as the treat of the title .",0.948289155960083,0.948289155960083,0,0,1,1,"Skipped"
"a [[real]] audience-pleaser that [[will]] [[strike]] a chord with anyone who's ever waited in a doctor's office , [[emergency]] [[room]] , hospital bed or insurance [[company]] office .","a [[actual]] audience-pleaser that [[volition]] [[hit]] a chord with anyone who's ever waited in a doctor's office , [[emergencies]] [[rooms]] , hospital bed or insurance [[enterprises]] office .",0.002129077911376953,0.0018224716186523438,1,1,1,129,"Failed"
"[[generates]] an [[enormous]] feeling of [[empathy]] for its [[characters]] .","[[produces]] an [[massive]] feeling of [[sympathy]] for its [[character]] .",0.00045043230056762695,0.0009162425994873047,1,1,1,63,"Failed"
"exposing the [[ways]] we fool ourselves is one hour photo's real strength .","exposing the [[pathways]] we fool ourselves is one hour photo's real strength .",0.0004437565803527832,0.00046193599700927734,1,1,1,2,"Failed"
"it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and [[narrow]] , fearful view of american life .","it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and [[limited]] , fearful view of american life .",0.043951451778411865,0.8333045244216919,1,0,1,12,"Successful"
"mostly , [goldbacher] just lets her [[complicated]] [[characters]] be unruly , [[confusing]] and , through it all , human .","mostly , [goldbacher] just lets her [[complicate]] [[traits]] be unruly , [[bewildering]] and , through it all , human .",0.0035721659660339355,0.0024217963218688965,1,1,1,29,"Failed"
". . . [[quite]] good at [[providing]] some good [[old]] fashioned spooks .",". . . [[pretty]] good at [[offering]] some good [[elderly]] fashioned spooks .",0.00656735897064209,0.024794697761535645,1,1,1,27,"Failed"
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .","at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",0.9916623830795288,0.9916623830795288,0,0,1,1,"Skipped"
"scherfig's light-hearted [[profile]] of [[emotional]] [[desperation]] is achingly honest and [[delightfully]] cheeky .","scherfig's light-hearted [[profiling]] of [[sentimental]] [[hopelessness]] is achingly honest and [[refreshingly]] cheeky .",0.0009391903877258301,0.0026682615280151367,1,1,1,59,"Failed"
"a [[journey]] spanning [[nearly]] three decades of bittersweet [[camaraderie]] and [[history]] , in which we feel that we [[truly]] know what makes holly and marina [[tick]] , and our hearts go out to them as both [[continue]] to [[negotiate]] their [[imperfect]] , love-hate [[relationship]] .","a [[trip]] spanning [[almost]] three decades of bittersweet [[comradeship]] and [[histories]] , in which we feel that we [[genuinely]] know what makes holly and marina [[ticking]] , and our hearts go out to them as both [[continuing]] to [[bargain]] their [[flawed]] , love-hate [[relationships]] .",0.0004743337631225586,0.0004961490631103516,1,1,1,417,"Failed"
